date,state_abbr,state_full_name,positive,negative,pending,hospitalized,death,total,dateChecked
20200318,AZ,Arizona,28,148,102,,0,278,2020-03-18T20:00:00Z
20200318,CA,California,611,7981,,,13,8592,2020-03-18T20:00:00Z
20200318,CO,Colorado,183,1617,,,2,1800,2020-03-18T20:00:00Z
20200318,CT,Connecticut,68,125,,,,193,2020-03-18T20:00:00Z
20200318,DC,Dist. of Columbia,31,138,1,,,170,2020-03-18T20:00:00Z
20200318,DE,Delaware,25,36,,,,61,2020-03-18T20:00:00Z
20200318,FL,Florida,314,1225,954,,7,2493,2020-03-18T20:00:00Z
20200318,GA,Georgia,197,1311,,,1,1508,2020-03-18T20:00:00Z
20200318,HI,Hawaii,14,93,12,,,119,2020-03-18T20:00:00Z
20200318,IA,Iowa,29,83,,,,112,2020-03-18T20:00:00Z
20200318,ID,Idaho,9,459,,,,468,2020-03-18T20:00:00Z
20200318,IL,Illinois,289,1763,,,1,2052,2020-03-18T20:00:00Z
20200318,IN,Indiana,39,154,,,2,193,2020-03-18T20:00:00Z
20200318,KS,Kansas,16,417,,,1,433,2020-03-18T20:00:00Z
20200318,KY,Kentucky,26,354,,,1,380,2020-03-18T20:00:00Z
20200318,LA,Louisiana,240,335,,,6,575,2020-03-18T20:00:00Z
20200318,MA,Massachusetts,256,2015,,,,2271,2020-03-18T20:00:00Z
20200318,MD,Maryland,85,94,,,,179,2020-03-18T20:00:00Z
20200318,ME,Maine,43,1670,,,,1713,2020-03-18T20:00:00Z
20200318,MI,Michigan,80,272,,,,352,2020-03-18T20:00:00Z
20200318,MN,Minnesota,77,2685,,,,2762,2020-03-18T20:00:00Z
20200318,MO,Missouri,13,253,,,0,266,2020-03-18T20:00:00Z
20200318,MS,Mississippi,34,479,,,,513,2020-03-18T20:00:00Z
20200318,MT,Montana,10,499,0,,,509,2020-03-18T20:00:00Z
20200318,NC,North Carolina,63,1787,,,0,1850,2020-03-18T20:00:00Z
20200318,ND,North Dakota,6,268,,,0,274,2020-03-18T20:00:00Z
20200318,NE,Nebraska,24,206,,,,230,2020-03-18T20:00:00Z
20200318,NH,New Hampshire,26,513,208,,,747,2020-03-18T20:00:00Z
20200318,NJ,New Jersey,427,190,21,,5,638,2020-03-18T20:00:00Z
20200318,NM,New Mexico,28,2326,,,,2354,2020-03-18T20:00:00Z
20200318,NV,Nevada,55,168,,,1,223,2020-03-18T20:00:00Z
20200318,NY,New York,2382,12215,,,12,14597,2020-03-18T20:00:00Z
20200318,OH,Ohio,88,140,,,,228,2020-03-18T20:00:00Z
20200318,OK,Oklahoma,29,378,110,,,517,2020-03-18T20:00:00Z
20200318,OR,Oregon,75,1118,361,,3,1554,2020-03-18T20:00:00Z
20200318,PA,Pennsylvania,133,1187,,,,1320,2020-03-18T20:00:00Z
20200318,RI,Rhode Island,33,540,334,,,907,2020-03-18T20:00:00Z
20200318,SC,South Carolina,60,583,,,1,643,2020-03-18T20:00:00Z
20200318,SD,South Dakota,11,551,350,,1,913,2020-03-18T20:00:00Z
20200318,TN,Tennessee,98,349,,,,447,2020-03-18T20:00:00Z
20200318,TX,Texas,83,1824,,,2,1907,2020-03-18T20:00:00Z
20200318,UT,Utah,63,131,,,0,194,2020-03-18T20:00:00Z
20200318,VA,Virginia,77,1201,,,1,1278,2020-03-18T20:00:00Z
20200318,VT,Vermont,19,592,,,,611,2020-03-18T20:00:00Z
20200318,WA,Washington,1012,13117,,,52,14129,2020-03-18T20:00:00Z
20200318,WI,Wisconsin,106,1577,,,,1683,2020-03-18T20:00:00Z
20200318,WV,West Virginia,1,122,14,,0,137,2020-03-18T20:00:00Z
20200318,WY,Wyoming,15,178,,,,193,2020-03-18T20:00:00Z
20200318,PR,Puerto Rico,5,31,21,,,57,2020-03-18T20:00:00Z
20200318,VI,Virgin Islands,2,,,,0,2,2020-03-18T20:00:00Z
20200318,GU,Guam,8,57,,,,65,2020-03-18T20:00:00Z
20200318,MP,Northern Marianas,0,,,,0,0,2020-03-18T20:00:00Z
20200318,AS,American Samoa,0,,,,0,0,2020-03-18T20:00:00Z
20200317,AK,Alaska,3,334,,,,337,2020-03-17T20:00:00Z
20200317,AL,Alabama,36,28,,,0,64,2020-03-17T20:00:00Z
20200317,AR,Arkansas,22,197,41,,,260,2020-03-17T20:00:00Z
20200317,AZ,Arizona,20,142,66,,0,228,2020-03-17T20:00:00Z
20200317,CA,California,483,7981,,,11,8407,2020-03-17T20:00:00Z
20200317,CO,Colorado,160,1056,,,1,1216,2020-03-17T20:00:00Z
20200317,CT,Connecticut,41,125,,,,166,2020-03-17T20:00:00Z
20200317,DC,Dist. of Columbia,22,104,0,,,126,2020-03-17T20:00:00Z
20200317,DE,Delaware,16,36,,,,52,2020-03-17T20:00:00Z
20200317,FL,Florida,186,940,872,,6,1998,2020-03-17T20:00:00Z
20200317,GA,Georgia,146,,,,1,146,2020-03-17T20:00:00Z
20200317,HI,Hawaii,10,,,,,10,2020-03-17T20:00:00Z
20200317,IA,Iowa,23,83,,,,106,2020-03-17T20:00:00Z
20200317,ID,Idaho,7,346,,,,353,2020-03-17T20:00:00Z
20200317,IL,Illinois,160,1340,,,1,1500,2020-03-17T20:00:00Z
20200317,IN,Indiana,30,129,,,2,159,2020-03-17T20:00:00Z
20200317,KS,Kansas,15,382,,,1,397,2020-03-17T20:00:00Z
20200317,KY,Kentucky,22,295,,,1,317,2020-03-17T20:00:00Z
20200317,LA,Louisiana,171,286,,,4,457,2020-03-17T20:00:00Z
20200317,MA,Massachusetts,218,1541,,,,1759,2020-03-17T20:00:00Z
20200317,MD,Maryland,57,94,,,,151,2020-03-17T20:00:00Z
20200317,ME,Maine,32,1303,,,,1335,2020-03-17T20:00:00Z
20200317,MI,Michigan,65,272,,,,337,2020-03-17T20:00:00Z
20200317,MN,Minnesota,60,2276,,,,2336,2020-03-17T20:00:00Z
20200317,MO,Missouri,8,207,,,0,215,2020-03-17T20:00:00Z
20200317,MS,Mississippi,21,368,,,,389,2020-03-17T20:00:00Z
20200317,MT,Montana,8,303,0,,,311,2020-03-17T20:00:00Z
20200317,NC,North Carolina,40,474,,,0,514,2020-03-17T20:00:00Z
20200317,ND,North Dakota,3,220,0,,0,223,2020-03-17T20:00:00Z
20200317,NE,Nebraska,21,206,,,,227,2020-03-17T20:00:00Z
20200317,NH,New Hampshire,17,355,195,,,567,2020-03-17T20:00:00Z
20200317,NJ,New Jersey,267,163,55,,3,485,2020-03-17T20:00:00Z
20200317,NM,New Mexico,23,1249,,,,1272,2020-03-17T20:00:00Z
20200317,NV,Nevada,55,168,,,1,223,2020-03-17T20:00:00Z
20200317,NY,New York,1700,5506,,,7,7206,2020-03-17T20:00:00Z
20200317,OH,Ohio,67,140,,,,207,2020-03-17T20:00:00Z
20200317,OK,Oklahoma,17,247,82,,,346,2020-03-17T20:00:00Z
20200317,OR,Oregon,47,689,184,,,920,2020-03-17T20:00:00Z
20200317,PA,Pennsylvania,96,879,,,,975,2020-03-17T20:00:00Z
20200317,RI,Rhode Island,21,308,149,,,478,2020-03-17T20:00:00Z
20200317,SC,South Carolina,33,311,,,1,344,2020-03-17T20:00:00Z
20200317,SD,South Dakota,11,551,35,,,597,2020-03-17T20:00:00Z
20200317,TN,Tennessee,73,330,,,,403,2020-03-17T20:00:00Z
20200317,TX,Texas,64,1204,,,1,1268,2020-03-17T20:00:00Z
20200317,UT,Utah,51,131,,,0,182,2020-03-17T20:00:00Z
20200317,VA,Virginia,67,961,,,1,1028,2020-03-17T20:00:00Z
20200317,VT,Vermont,10,495,,,,505,2020-03-17T20:00:00Z
20200317,WA,Washington,904,11582,,,48,12486,2020-03-17T20:00:00Z
20200317,WI,Wisconsin,72,1038,,,,1110,2020-03-17T20:00:00Z
20200317,WV,West Virginia,0,80,4,,0,84,2020-03-17T20:00:00Z
20200317,WY,Wyoming,10,95,,,,105,2020-03-17T20:00:00Z
20200317,PR,Puerto Rico,5,13,4,,,22,2020-03-17T20:00:00Z
20200317,VI,Virgin Islands,2,,,,,2,2020-03-17T20:00:00Z
20200317,GU,Guam,5,41,,,,46,2020-03-17T20:00:00Z
20200317,MP,Northern Marianas,0,,,,,0,2020-03-17T20:00:00Z
20200317,AS,American Samoa,0,,,,,0,2020-03-17T20:00:00Z
20200316,AK,Alaska,1,143,,,,144,2020-03-16T20:00:00Z
20200316,AL,Alabama,28,28,40,,0,96,2020-03-16T20:00:00Z
20200316,AR,Arkansas,22,132,14,,,168,2020-03-16T20:00:00Z
20200316,AZ,Arizona,18,125,63,,0,206,2020-03-16T20:00:00Z
20200316,CA,California,335,7981,,,6,8316,2020-03-16T20:00:00Z
20200316,CO,Colorado,131,627,,,1,758,2020-03-16T20:00:00Z
20200316,CT,Connecticut,26,125,,,,151,2020-03-16T20:00:00Z
20200316,DC,Dist. of Columbia,17,96,7,,,120,2020-03-16T20:00:00Z
20200316,DE,Delaware,8,36,32,,,76,2020-03-16T20:00:00Z
20200316,FL,Florida,141,684,514,,4,1339,2020-03-16T20:00:00Z
20200316,GA,Georgia,121,,,,1,121,2020-03-16T20:00:00Z
20200316,HI,Hawaii,7,,,,,7,2020-03-16T20:00:00Z
20200316,IA,Iowa,22,83,,,,105,2020-03-16T20:00:00Z
20200316,ID,Idaho,5,265,,,,270,2020-03-16T20:00:00Z
20200316,IL,Illinois,93,932,,,,1025,2020-03-16T20:00:00Z
20200316,IN,Indiana,24,115,,,1,139,2020-03-16T20:00:00Z
20200316,KS,Kansas,11,166,,,1,177,2020-03-16T20:00:00Z
20200316,KY,Kentucky,21,234,,,1,255,2020-03-16T20:00:00Z
20200316,LA,Louisiana,114,188,,,2,302,2020-03-16T20:00:00Z
20200316,MA,Massachusetts,164,352,,,,516,2020-03-16T20:00:00Z
20200316,MD,Maryland,37,94,,,,131,2020-03-16T20:00:00Z
20200316,ME,Maine,17,764,,,,781,2020-03-16T20:00:00Z
20200316,MI,Michigan,53,272,30,,,355,2020-03-16T20:00:00Z
20200316,MN,Minnesota,54,1839,,,,1893,2020-03-16T20:00:00Z
20200316,MO,Missouri,6,164,,,0,170,2020-03-16T20:00:00Z
20200316,MS,Mississippi,12,277,,,,289,2020-03-16T20:00:00Z
